timestamp,cpu_user,cpu_system,cpu_idle,cpu_nice,memory_used_mb,memory_free_mb,memory_cached_mb,load1,load5,load15,swap_used_mb,swap_free_mb
2026-03-26 14:22:22,1.34,1.06,0.51,0,5153,45908,2055,1.34,1.06,0.51,0.00,0.00
2026-03-26 14:22:28,1.31,1.06,0.51,0,5658,44909,2427,1.31,1.06,0.51,0.00,0.00
2026-03-26 14:22:34,1.36,1.07,0.52,0,5744,44696,2386,1.36,1.07,0.52,0.00,0.00
2026-03-26 14:22:40,1.38,1.09,0.53,0,5703,44720,2378,1.38,1.09,0.53,0.00,0.00
2026-03-26 14:22:46,1.51,1.12,0.54,0,5092,45539,2170,1.51,1.12,0.54,0.00,0.00
2026-03-26 14:22:53,6.00,7.00,87.00,0,6798,43303,2467,1.47,1.12,0.55,0.00,0.00
2026-03-26 14:22:59,14.00,36.00,50.00,0,7074,42335,2665,2.71,1.38,0.64,0.00,0.00
2026-03-26 14:23:05,16.00,18.00,65.00,0,7131,41539,2970,3.86,1.64,0.74,0.00,0.00
2026-03-26 14:23:11,7.00,2.00,91.00,0,6901,41750,3003,3.71,1.68,0.77,0.00,0.00
2026-03-26 14:23:17,4.00,4.00,92.00,0,7015,41259,3006,3.50,1.67,0.77,0.00,0.00
2026-03-26 14:23:23,22.00,25.00,53.00,0,8351,39383,3040,3.38,1.68,0.77,0.00,0.00
2026-03-26 14:23:30,13.00,15.00,72.00,0,7988,39073,3525,3.18,1.67,0.77,0.00,0.00
2026-03-26 14:23:36,12.00,6.00,82.00,0,8309,39456,3359,3.62,1.81,0.83,0.00,0.00
2026-03-26 14:23:42,17.00,3.00,81.00,0,9419,38146,3431,3.73,1.86,0.86,0.00,0.00
2026-03-26 14:23:48,57.00,38.00,5.00,0,10823,35433,4385,5.99,2.36,1.04,0.00,0.00
2026-03-26 14:23:55,86.00,13.00,0.00,0,11616,33851,4932,6.95,2.62,1.14,0.00,0.00
2026-03-26 14:24:01,97.00,3.00,0.00,0,12821,31456,6076,8.50,3.09,1.32,0.00,0.00
2026-03-26 14:24:07,95.00,5.00,0.00,0,13575,29944,6778,10.54,3.60,1.52,0.00,0.00
2026-03-26 14:24:13,88.00,8.00,5.00,0,13849,29385,6960,11.06,3.83,1.61,0.00,0.00
2026-03-26 14:24:20,79.00,21.00,0.00,0,14044,28992,7057,11.38,4.01,1.68,0.00,0.00
2026-03-26 14:24:26,87.00,13.00,0.00,0,14469,28169,7360,13.84,4.77,1.98,0.00,0.00
2026-03-26 14:24:32,83.00,17.00,0.00,0,14469,28183,7237,15.14,5.19,2.14,0.00,0.00
2026-03-26 14:24:39,83.00,17.00,0.00,0,13544,30017,6247,15.60,5.45,2.25,0.00,0.00
2026-03-26 14:24:45,59.00,8.00,33.00,0,12750,31606,5374,15.88,5.68,2.35,0.00,0.00
2026-03-26 14:24:51,67.00,1.00,32.00,0,13482,30513,5710,16.37,6.10,2.54,0.00,0.00
2026-03-26 14:24:57,29.00,0.00,71.00,0,13691,29997,6001,15.46,6.08,2.55,0.00,0.00
2026-03-26 14:25:04,53.00,1.00,46.00,0,14227,28903,6549,14.54,6.05,2.56,0.00,0.00
2026-03-26 14:25:10,82.00,3.00,15.00,0,14092,28872,6669,13.70,6.01,2.57,0.00,0.00
2026-03-26 14:25:16,28.00,0.00,71.00,0,14335,28542,6670,13.90,6.32,2.72,0.00,0.00
2026-03-26 14:25:22,87.00,13.00,0.00,0,14714,27746,6761,14.07,6.48,2.80,0.00,0.00
2026-03-26 14:25:28,50.00,21.00,29.00,0,14121,28910,6134,13.10,6.41,2.79,0.00,0.00
2026-03-26 14:25:35,93.00,7.00,0.00,0,16130,24960,7873,13.41,6.58,2.88,0.00,0.00
2026-03-26 14:25:41,91.00,9.00,0.00,0,16111,24956,7666,14.34,6.89,3.01,0.00,0.00
2026-03-26 14:25:47,95.00,5.00,0.00,0,16484,24382,7625,15.76,7.44,3.25,0.00,0.00
2026-03-26 14:25:53,94.00,6.00,0.00,0,16252,24680,7271,15.62,7.55,3.31,0.00,0.00
2026-03-26 14:26:00,50.00,6.00,44.00,0,15309,25850,6713,15.89,7.74,3.40,0.00,0.00
2026-03-26 14:26:06,40.00,4.00,55.00,0,16034,25152,6749,15.10,7.71,3.42,0.00,0.00
2026-03-26 14:26:12,11.00,2.00,87.00,0,16223,24565,7079,13.09,7.52,3.40,0.00,0.00
