timestamp,cpu_user,cpu_system,cpu_idle,cpu_nice,memory_used_mb,memory_free_mb,memory_cached_mb,load1,load5,load15,swap_used_mb,swap_free_mb
2026-03-26 04:39:11,0.73,0.49,0.21,0,5294,45626,2145,0.73,0.49,0.21,0.00,0.00
2026-03-26 04:39:18,1.07,0.56,0.24,0,5755,44620,2401,1.07,0.56,0.24,0.00,0.00
2026-03-26 04:39:24,1.06,0.57,0.25,0,5703,44662,2392,1.06,0.57,0.25,0.00,0.00
2026-03-26 04:39:30,1.06,0.58,0.25,0,5723,44638,2394,1.06,0.58,0.25,0.00,0.00
2026-03-26 04:39:36,0.00,50.00,50.00,0,6366,44027,2223,1.13,0.60,0.26,0.00,0.00
2026-03-26 04:39:41,8.00,46.00,46.00,0,6959,42999,2551,1.98,0.79,0.33,0.00,0.00
2026-03-26 04:39:47,13.00,64.00,23.00,0,7687,41410,2647,2.54,0.93,0.38,0.00,0.00
2026-03-26 04:39:53,7.00,6.00,88.00,0,7208,41468,2997,3.94,1.25,0.50,0.00,0.00
2026-03-26 04:40:00,7.00,4.00,89.00,0,7048,41550,3060,3.78,1.26,0.51,0.00,0.00
2026-03-26 04:40:06,3.00,5.00,91.00,0,7071,41355,3061,3.36,1.25,0.51,0.00,0.00
2026-03-26 04:40:12,8.00,3.00,89.00,0,7354,40414,3096,3.17,1.25,0.51,0.00,0.00
2026-03-26 04:40:18,18.00,27.00,54.00,0,8213,39025,3582,4.51,1.56,0.63,0.00,0.00
2026-03-26 04:40:24,8.00,1.00,91.00,0,8352,39374,3403,4.23,1.55,0.63,0.00,0.00
2026-03-26 04:40:30,31.00,3.00,66.00,0,9362,38245,3436,3.97,1.54,0.63,0.00,0.00
2026-03-26 04:40:36,57.00,39.00,5.00,0,10893,35312,4460,5.20,1.87,0.76,0.00,0.00
2026-03-26 04:40:43,77.00,23.00,0.00,0,11715,33695,4991,6.62,2.22,0.89,0.00,0.00
2026-03-26 04:40:49,97.00,3.00,0.00,0,13029,31063,6249,8.65,2.71,1.07,0.00,0.00
2026-03-26 04:40:55,94.00,5.00,0.00,0,13755,29604,6940,10.52,3.20,1.25,0.00,0.00
2026-03-26 04:41:01,88.00,9.00,3.00,0,13366,30383,6432,14.54,4.31,1.67,0.00,0.00
2026-03-26 04:41:08,78.00,21.00,1.00,0,14129,28872,7102,14.57,4.49,1.75,0.00,0.00
2026-03-26 04:41:14,86.00,14.00,0.00,0,14410,28293,7288,14.77,4.69,1.84,0.00,0.00
2026-03-26 04:41:20,85.00,15.00,0.00,0,15011,27110,7753,14.79,4.87,1.91,0.00,0.00
2026-03-26 04:41:26,96.00,4.00,1.00,0,13796,29530,6464,19.01,6.10,2.39,0.00,0.00
2026-03-26 04:41:32,65.00,9.00,26.00,0,12966,31241,5528,19.01,6.32,2.48,0.00,0.00
2026-03-26 04:41:39,60.00,9.00,30.00,0,13103,30919,5720,17.97,6.31,2.50,0.00,0.00
2026-03-26 04:41:45,31.00,1.00,68.00,0,13743,29648,6276,16.85,6.27,2.51,0.00,0.00
2026-03-26 04:41:51,67.00,2.00,32.00,0,14438,28503,6711,15.99,6.43,2.61,0.00,0.00
2026-03-26 04:41:58,97.00,3.00,0.00,0,14217,28645,6743,15.03,6.39,2.62,0.00,0.00
2026-03-26 04:42:04,67.00,9.00,23.00,0,14509,28164,6578,14.95,6.52,2.69,0.00,0.00
2026-03-26 04:42:10,14.00,1.00,86.00,0,13995,29189,5993,14.23,6.51,2.70,0.00,0.00
2026-03-26 04:42:16,39.00,1.00,60.00,0,14651,28185,6325,12.35,6.36,2.70,0.00,0.00
2026-03-26 04:42:23,55.00,20.00,25.00,0,15019,27349,6606,11.76,6.33,2.71,0.00,0.00
2026-03-26 04:42:29,94.00,6.00,0.00,0,16057,25099,7653,12.42,6.56,2.81,0.00,0.00
2026-03-26 04:42:35,94.00,6.00,0.00,0,16430,24380,7783,13.11,6.80,2.92,0.00,0.00
2026-03-26 04:42:41,93.00,7.00,0.00,0,16644,24124,7538,13.55,7.10,3.07,0.00,0.00
2026-03-26 04:42:48,94.00,6.00,0.00,0,17036,23258,7730,14.54,7.42,3.20,0.00,0.00
2026-03-26 04:42:54,49.00,47.00,4.00,0,15881,25460,6614,13.46,7.31,3.19,0.00,0.00
2026-03-26 04:43:00,0.00,0.00,100.00,0,16177,24890,6843,12.38,7.19,3.17,0.00,0.00
